Category,Question,Total in Agreement,Strongly Agree,Agree,Undecided,Disagree,Disagree,Total Disagree,Did Not Answer,Total Positive,Wording
Sense of Accomplishment,20. Our school celebrates the accomplishments of the staff,69.50%,8.50%,61.00%,11.90%,11.00%,7.60%,18.60%,0.80%,69.50%,0
Sense of Accomplishment,21. I am recognized when I try my best,44.40%,7.70%,36.80%,24.80%,25.60%,5.10%,30.70%,1.70%,44.40%,0
Sense of Accomplishment,22. Professional development is an important part of my educational growth,69.60%,24.30%,45.20%,18.30%,8.70%,3.50%,12.20%,3.40%,69.60%,0
Fun & Excitement,23. I enjoy working here,86.60%,31.10%,55.50%,3.40%,9.20%,0.80%,10.00%,0.00%,86.60%,0
Fun & Excitement,24. I make learning relevant to my students,92.40%,48.70%,43.70%,7.60%,0.00%,0.00%,0.00%,0.00%,92.40%,0
Fun & Excitement,25. Students enjoy working with teachers,78.80%,11.00%,67.80%,18.60%,2.50%,0.00%,2.50%,0.80%,78.80%,0
Fun & Excitement,26. Students have fun at school,81.40%,4.20%,77.10%,15.30%,3.40%,0.00%,3.40%,0.80%,81.40%,0
Fun & Excitement,27. Students make school an exciting place to work,96.60%,48.30%,48.30%,2.50%,0.80%,0.00%,0.80%,0.80%,96.60%,0
Fun & Excitement,28. I have fun at school,88.00%,36.80%,51.30%,8.50%,3.40%,0.00%,3.40%,1.70%,88.00%,0
Fun & Excitement,29. Learning can be fun,97.40%,62.10%,35.30%,2.60%,0.00%,0.00%,0.00%,2.50%,97.40%,0
Curiosity & Creativity,30. At school I am encouraged to be creative,68.10%,17.60%,50.40%,18.50%,10.90%,2.50%,13.40%,0.00%,68.10%,0
Curiosity & Creativity,31. Building administration is open to new ideas,58.00%,14.30%,43.70%,19.30%,12.60%,10.10%,22.70%,0.00%,58.00%,0
Curiosity & Creativity,32. I enjoy learning new things,99.20%,65.30%,33.90%,0.80%,0.00%,0.00%,0.00%,0.80%,99.20%,0
Curiosity & Creativity,33. School inspires me to learn,82.90%,26.50%,56.40%,12.00%,3.40%,1.70%,5.10%,1.70%,82.90%,0
Curiosity & Creativity,34. Our school is a dynamic and creative learning environment,77.80%,9.40%,68.40%,17.10%,5.10%,0.00%,5.10%,1.70%,77.80%,0
Curiosity & Creativity,35. Staff work in a collaborative manner,64.10%,6.80%,57.30%,18.80%,12.80%,4.30%,17.10%,1.70%,64.10%,0
Curiosity & Creativity,36. Meaningful professional development opportunities exist in my district,36.40%,4.20%,32.20%,22.00%,18.60%,22.90%,41.50%,0.80%,36.40%,0
Curiosity & Creativity,37. I feel comfortable asking questions in staff meetings,44.40%,11.10%,33.30%,20.50%,20.50%,14.50%,35.00%,1.70%,44.40%,0
Spirit of Adventure,38. Setting yearly goals with my supervisor is important for my work,43.70%,10.10%,33.60%,16.80%,26.10%,13.40%,39.50%,0.00%,43.70%,0
Spirit of Adventure,39. I challenge myself to do my job better every day,95.00%,43.70%,51.30%,3.40%,1.70%,0.00%,1.70%,0.00%,95.00%,0
Spirit of Adventure,40. Staff are supportive of each other,69.50%,15.30%,54.20%,13.60%,12.70%,4.20%,16.90%,0.80%,69.50%,0
Spirit of Adventure,41. I am afraid to try something if I think I might fail,16.90%,2.50%,14.40%,7.60%,50.00%,25.40%,75.40%,0.80%,75.40%,1
Spirit of Adventure,42. My colleagues help me learn from my mistakes,57.30%,7.70%,49.60%,27.40%,12.80%,2.60%,15.40%,1.70%,57.30%,0
Spirit of Adventure,43. I am concerned my colleagues will resent me if I am too successful,12.80%,4.30%,8.50%,17.10%,39.30%,30.80%,70.10%,1.70%,70.10%,1
Spirit of Adventure,44. I am excited to tell my colleagues when I do something well,47.90%,7.70%,40.20%,23.90%,19.70%,8.50%,28.20%,1.70%,47.90%,0
Leadership & Responsibility,45. I see myself as a leader,66.40%,21.00%,45.40%,21.00%,12.60%,0.00%,12.60%,0.00%,66.40%,0
Leadership & Responsibility,46. My colleagues see me as a leader,46.20%,7.60%,38.70%,39.50%,13.40%,0.80%,14.20%,0.00%,46.20%,0
Leadership & Responsibility,47. I have a voice in decision making at school,39.00%,4.20%,34.70%,21.20%,23.70%,16.10%,39.80%,0.80%,39.00%,0
Leadership & Responsibility,48. I know the goals my school is working on this year,65.30%,7.60%,57.60%,22.90%,9.30%,2.50%,11.80%,0.80%,65.30%,0
Leadership & Responsibility,49. I actively seek out student opinions and ideas,86.20%,25.00%,61.20%,10.30%,3.40%,0.00%,3.40%,2.50%,86.20%,0
Leadership & Responsibility,50. I encourage students to make decisions,98.30%,41.40%,56.90%,1.70%,0.00%,0.00%,0.00%,2.50%,98.30%,0
Leadership & Responsibility,51. Building administration is willing to learn from staff,39.30%,6.80%,32.50%,25.60%,17.90%,17.10%,35.00%,1.70%,39.30%,0
Confidence to Take Action,52. I believe I can be successful,95.00%,50.40%,44.50%,4.20%,0.80%,0.00%,0.80%,0.00%,95.00%,0
Confidence to Take Action,53. I believe I can make a difference in this world,97.50%,42.00%,55.50%,1.70%,0.80%,0.00%,0.80%,0.00%,97.50%,0
Confidence to Take Action,54. I feel confident voicing my honest opinions and concerns,46.60%,5.90%,40.70%,18.60%,22.90%,11.90%,34.80%,0.80%,46.60%,0
Confidence to Take Action,55. I work hard to reach my goals,94.90%,34.20%,60.70%,4.30%,0.90%,0.00%,0.90%,1.70%,94.90%,0
Confidence to Take Action,56. I am excited about my future career in education,73.30%,27.60%,45.70%,9.50%,11.20%,6.00%,17.20%,2.50%,73.30%,0
Confidence to Take Action,57. Continuing my education is important for my future,82.80%,37.10%,45.70%,10.30%,4.30%,2.60%,6.90%,2.50%,82.80%,0
Confidence to Take Action,58. I think it is important to set high goals,92.30%,47.90%,44.40%,6.00%,0.90%,0.90%,1.80%,1.70%,92.30%,0
Administration and Communication,59. Central office understands the unique culture of our school,55.50%,15.10%,40.30%,22.70%,11.80%,10.10%,21.90%,0.00%,55.50%,0
Administration and Communication,60. We communicate effectively in our building,27.70%,1.70%,26.10%,26.10%,30.30%,16.00%,46.30%,0.00%,27.70%,0
Administration and Communication,61. Building administration is visible in our school,51.70%,11.00%,40.70%,16.10%,20.30%,11.90%,32.20%,0.80%,51.70%,0
Administration and Communication,62. Building administration knows my professional goals,46.60%,6.90%,39.70%,17.20%,22.40%,13.80%,36.20%,2.50%,46.60%,0
Administration and Communication,63. Building administration is accessible to me,65.80%,13.70%,52.10%,14.50%,10.30%,9.40%,19.70%,1.70%,65.80%,0
Administration and Communication,64. I communicate effectively with parents,78.40%,18.10%,60.30%,11.20%,8.60%,1.70%,10.30%,2.50%,78.40%,0
